id,titulo,idioma,tipo,edicao,arquivo_relativo,permitido_uso,prioridade,observacoes
pt_categorias_de_pericias,Categorias de Perícias,pt,pdf,4,raw/Categorias de Perícias.pdf,sim,1,fonte_pt_inicial
pt_criacao_de_personagens_e_atualizacao_gurps,Criação de Personagens e Atualização GURPS,pt,pdf,4,raw/Criação de Personagens e Atualização GURPS.pdf,sim,2,fonte_pt_inicial
pt_gurps_4a_edicao_artes_marciais,GURPS 4ª Edição - Artes Marciais,pt,pdf,4,raw/GURPS 4ª Edição - Artes Marciais.pdf,sim,3,fonte_pt_inicial
pt_gurps_4a_edicao_categorias_de_pericias,GURPS 4ª Edição - Categorias de Perícias,pt,pdf,4,raw/GURPS 4ª Edição - Categorias de Perícias.pdf,sim,4,fonte_pt_inicial
pt_gurps_4a_edicao_fantasy,GURPS 4ª Edição - Fantasy,pt,pdf,4,raw/GURPS 4ª Edição - Fantasy.pdf,sim,5,fonte_pt_inicial
pt_gurps_4a_edicao_high_tech,GURPS 4ª Edição - High-Tech,pt,pdf,4,raw/GURPS 4ª Edição - High-Tech.pdf,sim,6,fonte_pt_inicial
pt_gurps_4a_edicao_low_tech,GURPS 4ª Edição - Low-Tech,pt,pdf,4,raw/GURPS 4ª Edição - Low-Tech.pdf,sim,7,fonte_pt_inicial
pt_gurps_4a_edicao_magia,GURPS 4ª Edição - Magia,pt,pdf,4,raw/GURPS 4ª Edição - Magia.pdf,sim,8,fonte_pt_inicial
pt_gurps_4a_edicao_meta_tech,GURPS 4ª Edição - Meta-Tech,pt,pdf,4,raw/GURPS 4ª Edição - Meta-Tech.pdf,sim,9,fonte_pt_inicial
pt_gurps_4a_edicao_modulo_basico_campanhas,GURPS 4ª Edição - Módulo Básico Campanhas,pt,pdf,4,raw/GURPS 4ª Edição - Módulo Básico Campanhas.pdf,sim,10,fonte_pt_inicial
pt_gurps_4a_edicao_modulo_basico_personagens,GURPS 4ª Edição - Módulo Básico Personagens,pt,pdf,4,raw/GURPS 4ª Edição - Módulo Básico Personagens.pdf,sim,11,fonte_pt_inicial
pt_gurps_4a_edicao_modulo_basico,GURPS 4ª Edição - Módulo Básico,pt,pdf,4,raw/GURPS 4ª Edição - Módulo Básico.pdf,sim,12,fonte_pt_inicial
pt_gurps_4a_edicao_poderes_psiquicos,GURPS 4ª Edição - Poderes Psíquicos,pt,pdf,4,raw/GURPS 4ª Edição - Poderes Psíquicos.pdf,sim,13,fonte_pt_inicial
pt_gurps_4a_edicao_supers,GURPS 4ª Edição - Supers,pt,pdf,4,raw/GURPS 4ª Edição - Supers.pdf,sim,14,fonte_pt_inicial
pt_gurps_4a_edicao_ultra_lite,GURPS 4ª Edição - Ultra-Lite,pt,pdf,4,raw/GURPS 4ª Edição - Ultra-Lite.pdf,sim,15,fonte_pt_inicial
pt_gurps_4a_edicao_ultra_tech,GURPS 4ª Edição - Ultra-Tech,pt,pdf,4,raw/GURPS 4ª Edição - Ultra-Tech.pdf,sim,16,fonte_pt_inicial
pt_gurps_4a_edicao_viagem_espacial,GURPS 4ª Edição - Viagem Espacial,pt,pdf,4,raw/GURPS 4ª Edição - Viagem Espacial.pdf,sim,17,fonte_pt_inicial
pt_gurps_4o_edicao_gun_fu,GURPS 4º Edição - Gun Fu,pt,pdf,4,raw/GURPS 4º Edição - Gun Fu.pdf,sim,18,fonte_pt_inicial
pt_regua_de_distancia_gurps,Régua de Distância GURPS,pt,pdf,4,raw/Régua de Distância GURPS.pdf,sim,19,fonte_pt_inicial
